relative_minutes,T1,T2,T3,T4,PC1,PC2,PC3,total_cpu_rate
198,0.760405966,0.649448048,0.12310662,0.99239345,0.593228862,0.166420952,0.521980915,2191.503133
199,0.76323247,0.64612398,0.123725186,0.992316521,0.591846167,0.161152544,0.523182427,2190.428144
200,0.766044443,0.64278761,0.124343705,0.992239207,0.479799601,0.104420806,0.340287792,2173.728123
201,0.768841832,0.639439002,0.124962175,0.992161506,0.473545207,0.102209826,0.344138335,2174.36088
202,0.771624583,0.63607822,0.125580596,0.992083421,0.613416688,0.166292059,0.571578635,2172.90191
203,0.774392644,0.632705329,0.126198969,0.99200495,0.629753349,0.173609018,0.597148092,2170.054161
204,0.777145961,0.629320391,0.126817293,0.991926093,0.635141377,0.175723284,0.596451189,2171.139646
205,0.779884483,0.625923472,0.127435567,0.991846851,0.618221924,0.162122905,0.572109931,2152.189149
206,0.782608157,0.622514637,0.128053792,0.991767224,0.689561314,0.179330561,0.498087482,2128.269766
207,0.785316931,0.619093949,0.128671968,0.991687211,0.952936624,0.289739191,0.386685272,2149.50932
208,0.788010754,0.615661475,0.129290093,0.991606813,1.140394619,0.386389524,0.463927564,2181.217463
209,0.790689574,0.61221728,0.129908168,0.99152603,1.172539008,0.412762744,0.464581067,2201.607252
210,0.79335334,0.608761429,0.130526192,0.991444861,1.158891527,0.435474238,0.495453145,2193.921704
211,0.796002003,0.605293988,0.131144166,0.991363308,1.160960276,0.43792525,0.491633122,2199.567777
212,0.79863551,0.601815023,0.131762089,0.991281369,1.247852023,0.473402829,0.475947321,2204.294381
213,0.801253813,0.598324601,0.13237996,0.991199045,1.217873141,0.462478978,0.478183207,2211.266947
214,0.803856861,0.594822787,0.132997781,0.991116335,1.203082947,0.456738771,0.47824427,2214.229298
215,0.806444604,0.591309648,0.133615549,0.991033241,1.13458899,0.422713769,0.492587054,2152.961054
216,0.809016994,0.587785252,0.134233266,0.990949762,1.172369776,0.438741814,0.484760312,2160.708709
217,0.811573982,0.584249666,0.13485093,0.990865897,1.164419901,0.436025522,0.484499293,2162.460628
218,0.814115518,0.580702956,0.135468542,0.990781648,1.140907602,0.427128814,0.494330522,2163.138487
219,0.816641555,0.57714519,0.136086102,0.990697014,1.167143224,0.438025894,0.494254057,2168.235358
220,0.819152044,0.573576436,0.136703608,0.990611994,1.286927206,0.482524506,0.707555922,2114.870178
221,0.821646938,0.569996763,0.137321062,0.99052659,1.357722849,0.510281047,0.676752583,2113.120962
222,0.824126189,0.566406237,0.137938462,0.990440801,1.329304631,0.494385789,0.516847728,2115.367516
223,0.826589749,0.562804928,0.138555808,0.990354627,1.326641734,0.489900401,0.428747473,2116.363679
224,0.829037573,0.559192903,0.139173101,0.990268069,1.328708438,0.492285113,0.452133311,2122.034171
225,0.831469612,0.555570233,0.13979034,0.990181125,1.312446985,0.491233965,0.514519267,2096.963468
226,0.833885822,0.551936985,0.140407524,0.990093797,1.232491119,0.452965218,0.455279539,2092.502441
227,0.836286156,0.54829323,0.141024654,0.990006084,1.171604801,0.426897222,0.467200131,2088.235604
228,0.838670568,0.544639035,0.141641728,0.989917987,1.233936471,0.450612887,0.462401224,2088.679022
229,0.841039013,0.540974471,0.142258748,0.989829505,1.397173943,0.518361126,0.433561054,2130.420344
230,0.003564312,0.999993648,0.142875713,0.989740638,1.401154011,0.527782183,0.440528815,2128.614749
231,0.00792756,0.999968576,0.143492622,0.989651387,1.418183576,0.534096611,0.433118155,2130.469383
232,0.012290657,0.999924467,0.144109475,0.989561751,1.352527362,0.506503811,0.447844403,2121.434236
233,0.016653519,0.999861321,0.144726273,0.989471731,1.392315858,0.522269073,0.409899291,2163.96945
234,0.021016065,0.999779138,0.145343014,0.989381326,1.401424594,0.525986944,0.392325091,2178.306674
235,0.025378211,0.999677921,0.145959698,0.989290537,1.436824839,0.545645876,0.305190392,2099.301962
236,0.029739873,0.999557672,0.146576326,0.989199363,1.361948849,0.510293421,0.187792876,2090.154992
237,0.034100969,0.999418393,0.147192897,0.989107806,1.32031421,0.489837257,0.157799218,2080.514096
238,0.038461416,0.999260086,0.147809411,0.989015863,1.353320914,0.511406294,0.313097091,2096.667366
239,0.042821131,0.999082755,0.148425867,0.988923537,1.51323407,0.589116031,0.513835699,2138.70197
